PIXEL,Wavelength
a. u.,nm
21,460.508901723348
22,460.990396268706
23,461.471831758877
24,461.953208242919
25,462.434525769891
26,462.915784388848
27,463.396984148853
28,463.878125098961
29,464.359207288231
30,464.840230765722
31,465.321195580493
32,465.802101781601
33,466.282949418105
34,466.763738539064
35,467.244469193535
36,467.725141430577
37,468.205755299248
38,468.686310848608
39,469.166808127713
40,469.647247185622
41,470.127628071395
42,470.607950834089
43,471.088215522762
44,471.568422186473
45,472.048570874281
46,472.528661635242
47,473.008694518417
48,473.488669572863
49,473.968586847639
50,474.448446391803
51,474.928248254414
52,475.407992484529
53,475.887679131208
54,476.367308243507
55,476.846879870487
56,477.326394061204
57,477.805850864719
58,478.285250330088
59,478.764592506371
60,479.243877442625
61,479.72310518791
62,480.202275791282
63,480.681389301802
64,481.160445768526
65,481.639445240514
66,482.118387766824
67,482.597273396514
68,483.076102178642
69,483.554874162268
70,484.033589396449
71,484.512247930243
72,484.990849812709
73,485.469395092906
74,485.947883819891
75,486.426316042724
76,486.904691810461
77,487.383011172163
78,487.861274176886
79,488.339480873691
80,488.817631311634
81,489.295725539774
82,489.77376360717
83,490.251745562879
84,490.729671455961
85,491.207541335474
86,491.685355250475
87,492.163113250025
88,492.640815383179
89,493.118461698998
90,493.596052246539
91,494.073587074862
92,494.551066233023
93,495.028489770082
94,495.505857735096
95,495.983170177126
96,496.460427145228
97,496.93762868846
98,497.414774855882
99,497.891865696552
100,498.368901259528
101,498.845881593868
102,499.322806748631
103,499.799676772875
104,500.276491715658
105,500.75325162604
106,501.229956553077
107,501.706606545829
108,502.183201653354
109,502.659741924711
110,503.136227408957
111,503.612658155152
112,504.089034212352
113,504.565355629617
114,505.041622456006
115,505.517834740576
116,505.993992532385
117,506.470095880494
118,506.946144833958
119,507.422139441837
120,507.89807975319
121,508.373965817074
122,508.849797682548
123,509.325575398671
124,509.801299014499
125,510.276968579094
126,510.752584141511
127,511.228145750812
128,511.703653456051
129,512.179107306289
130,512.654507350585
131,513.129853637994
132,513.605146217578
133,514.080385138394
134,514.5555704495
135,515.030702199954
136,515.505780438817
137,515.980805215144
138,516.455776577994
139,516.930694576427
140,517.405559259501
141,517.880370676274
142,518.355128875803
143,518.829833907149
144,519.304485819367
145,519.779084661519
146,520.25363048266
147,520.728123331852
148,521.20256325815
149,521.676950310613
150,522.151284538301
151,522.625565990272
152,523.099794715583
153,523.573970763293
154,524.048094182462
155,524.522165022145
156,524.996183331403
157,525.470149159294
158,525.944062554875
159,526.417923567206
160,526.891732245344
161,527.365488638349
162,527.839192795278
163,528.31284476519
164,528.786444597142
165,529.259992340195
166,529.733488043404
167,530.206931755831
168,530.680323526531
169,531.153663404565
170,531.62695143899
171,532.100187678866
172,532.573372173247
173,533.046504971197
174,533.51958612177
175,533.992615674027
176,534.465593677025
177,534.938520179823
178,535.41139523148
179,535.884218881052
180,536.3569911776
181,536.82971217018
182,537.302381907854
183,537.775000439676
184,538.247567814706
185,538.720084082004
186,539.192549290626
187,539.664963489632
188,540.137326728079
189,540.609639055027
190,541.081900519533
