299.74,NaN
300.34,NaN
300.94,NaN
301.53,NaN
302.13,NaN
302.73,NaN
303.33,NaN
303.92,NaN
304.52,NaN
305.12,NaN
305.72,NaN
306.31,NaN
306.91,NaN
307.51,NaN
308.11,NaN
308.7,NaN
309.3,NaN
309.9,NaN
310.5,NaN
311.09,NaN
311.69,NaN
312.29,NaN
312.88,NaN
313.48,NaN
314.08,NaN
314.68,NaN
315.27,NaN
315.87,NaN
316.47,NaN
317.06,NaN
317.66,NaN
318.26,NaN
318.85,NaN
319.45,NaN
320.05,NaN
320.64,NaN
321.24,NaN
321.84,NaN
322.43,NaN
323.03,NaN
323.63,NaN
324.22,NaN
324.82,NaN
325.42,NaN
326.01,NaN
326.61,NaN
327.21,NaN
327.8,NaN
328.4,NaN
329,NaN
329.59,NaN
330.19,NaN
330.79,NaN
331.38,NaN
331.98,NaN
332.57,NaN
333.17,NaN
333.77,NaN
334.36,NaN
334.96,NaN
335.55,NaN
336.15,NaN
336.75,NaN
337.34,NaN
337.94,NaN
338.53,NaN
339.13,NaN
339.73,NaN
340.32,NaN
340.92,NaN
341.51,NaN
342.11,NaN
342.7,NaN
343.3,NaN
343.9,NaN
344.49,NaN
345.09,NaN
345.68,NaN
346.28,NaN
346.87,NaN
347.47,NaN
348.06,NaN
348.66,NaN
349.25,NaN
349.85,NaN
350.44,1607709265.07195
351.04,1548722410.7083
351.63,1729020204.15219
352.23,1798169697.38131
352.83,1512701127.8654
353.42,1454447274.25146
354.02,1484093836.93116
354.61,1639274442.11437
355.21,1806899085.62367
355.8,1544532443.33806
356.4,1605879960.71309
356.99,1619268877.84441
357.59,1622036217.55759
358.18,1467742675.96992
358.77,1334442667.0801
359.37,1404908464.42663
359.96,1466792878.80727
360.56,1488123286.91644
361.15,1463338287.62783
361.75,1756941203.55294
362.34,1536764154.95378
362.94,1376918443.01098
363.53,1393125022.33218
364.13,1431752431.71497
364.72,1225225907.41285
365.32,1226392723.83506
365.91,1183382839.59335
366.5,1141182170.9462
367.1,993811583.692252
367.69,913712536.809416
368.29,814945553.30208
368.88,789677808.388611
369.48,713051475.06197
370.07,748779994.502819
370.66,705053809.304247
371.26,650681377.38694
371.85,652769455.325402
372.45,614539065.250527
373.04,641412531.15843
373.64,750459515.086583
374.23,757373945.72569
374.82,761952964.228253
375.42,850972835.76583
376.01,872572433.236102
376.61,897480591.972806
377.2,974111747.325034
377.79,999438366.11716
378.39,952051301.809512
378.98,952658698.563889
379.57,917074933.742001
380.17,923528842.772238
380.76,931093671.86292
381.36,932053509.013645
381.95,1022338956.97526
382.54,939359854.35625
383.14,978106652.666845
383.73,1099393248.28258
384.32,1047202151.32159
384.92,993145462.418835
385.51,983703965.46877
386.1,1021788408.64321
386.7,1021729127.88449
387.29,978604458.086401
387.88,957797490.738517
388.48,984068680.74341
389.07,994121185.95413
389.66,1025102128.64252
390.26,1017376710.36354
390.85,1037620425.79308
391.44,1016763381.75187
392.04,1083423931.41494
392.63,1043144317.98597
393.22,1005036146.74379
393.81,1030829458.61762
394.41,995799774.341783
395,1031957716.23599
395.59,1017907569.2506
396.19,1055735069.44024
396.78,1007029952.24237
397.37,1009718415.79915
397.96,1010172812.13679
398.56,988127196.707063
399.15,1025693260.16901
399.74,1000580224.81167
400.33,982725293.728283
400.93,975913536.605359
401.52,1000852321.0869
402.11,1020485753.66269
402.7,1003126470.65987
403.3,993608100.65219
403.89,969657982.752191
404.48,992279994.026465
405.07,1040782548.67013
405.67,1024423893.06441
406.26,977951251.208139
406.85,964945168.871082
407.44,958511560.50733
408.04,970831064.335467
408.63,974510171.598345
409.22,984074139.356359
409.81,949212823.136117
410.4,936055090.368425
411,943788776.365586
411.59,946284014.067213
412.18,957611728.292591
412.77,941796544.662319
413.36,935148808.602387
413.96,973802431.610383
414.55,967962267.270807
415.14,937448685.196789
415.73,917432966.106643
416.32,907542061.730946
416.92,902829685.857056
417.51,906395751.638612
418.1,917511658.65898
418.69,910925496.399807
419.28,910041884.656824
419.87,894000855.109568
420.46,892466339.145458
421.06,891020247.368526
421.65,903578120.141954
422.24,916667203.23736
422.83,900509533.095431
423.42,901832630.869762
424.01,899195692.42542
424.6,901075230.941727
425.2,884440386.393692
425.79,878616596.151263
426.38,879282354.739375
426.97,879074875.21349
427.56,877724241.582258
428.15,874870769.403422
428.74,883504657.449919
429.33,879879052.661795
429.92,877094823.401301
430.52,896831896.317579
431.11,868322835.205833
431.7,862984158.55523
432.29,861588586.81673
432.88,852334136.012676
