497.397,22482949996.8442
498.555,Inf
499.712,48037214386.2498
500.868,Inf
502.022,21399056372.1558
503.175,Inf
504.327,28470519361.0873
505.477,Inf
506.625,26279814824.9096
507.772,1508430193682.5
508.918,31590137371.0084
510.063,Inf
511.206,27713951044.9659
512.347,Inf
513.488,35380581743.2214
514.626,Inf
515.764,37234521261.0291
516.9,Inf
518.035,39178495372.7795
519.168,Inf
520.301,38953965039.1777
521.431,898375211233.623
522.561,37550191103.4496
523.689,Inf
524.816,42027176697.882
525.941,Inf
527.066,49346283959.7883
528.188,Inf
529.31,33268872648.4896
530.43,Inf
531.549,36335066449.3643
532.667,Inf
533.784,35429233409.6003
534.899,Inf
536.013,48775652556.6377
537.125,1449409650882.65
538.237,42349955421.4512
539.347,Inf
540.456,31810268318.4815
541.564,4573603800083.01
542.67,31713975283.1219
543.775,Inf
544.88,39533238700.228
545.982,Inf
547.084,34455281537.0759
548.184,Inf
549.284,31877929312.4965
550.382,Inf
551.479,41756210864.1758
552.574,644566646074.15
553.669,35993209225.2781
554.762,Inf
555.854,35867867040.9191
556.945,Inf
558.035,46753850746.426
559.124,2766682556157.63
560.212,35876127371.8696
561.298,943345629419.576
562.383,42713554973.465
563.468,826765989100.716
564.551,31973728874.9347
565.633,5915165845721.44
566.714,32320441885.8479
567.793,3021739971748.79
568.872,33194993841.5976
569.95,3086209278046.66
571.026,45860575773.9975
572.102,Inf
573.176,37897354807.2262
574.249,Inf
575.322,33492839534.0716
576.393,Inf
577.463,30284349848.9898
578.532,837476973461.146
579.6,31772299180.5373
580.667,759480428621.998
581.733,35220855163.4149
582.798,464759361146.279
583.862,31853537113.4591
584.925,7108010896188.18
585.987,34502535719.1808
587.048,7245180732869.07
588.108,36753619282.1767
589.167,671172306736.782
590.225,36351002809.3769
591.282,1880287568835.3
592.339,34979468443.3156
593.394,Inf
594.448,27704666014.6637
595.501,Inf
596.553,30035068394.7208
597.605,360874754430.061
598.655,32426580230.8741
599.705,807968307805.292
600.753,33540420065.1854
601.801,222196210624.776
602.847,26408468521.1942
603.893,929272803626.43
604.938,30450468580.5918
605.982,607588017452.339
607.025,25154873934.9662
608.068,188034509707.34
609.109,23195266897.2577
610.149,462809415432.49
611.189,24695075142.9123
612.228,331029997932.138
613.266,26116557206.264
614.303,99810310903.1027
615.339,24878770523.5542
616.374,123042126114.584
617.409,24869315619.3797
618.443,223195488702.299
619.476,23384698891.571
620.508,83515324248.571
621.539,22468842634.7967
622.569,54930479079.7267
623.599,22654706165.1532
624.628,118257854400.046
625.656,21976441234.109
626.683,114523138123.497
627.71,20278418562.0113
